,document,company,grade
0,99CentsOnlyStoresLlc_20131108_10-Q_EX-3.2.txt,99 Cents Only Stores LLC,matched
1,99CentsOnlyStoresLlc_20131108_10-Q_EX-3.2.txt,Number Holdings Inc,matched
2,AcadiaHealthcareCompanyInc_20140306_S-4_EX-3.20.txt,Austin Behavioral Hospital LLC,matched
3,AcadiaHealthcareCompanyInc_20140306_S-4_EX-3.20.txt,Acadia Healthcare Company Inc,matched
4,AcadiaHealthcareCompanyInc_20140306_S-4_EX-3.6.txt,Abilene Holding Company LLC,matched
5,AcadiaHealthcareCompanyInc_20140306_S-4_EX-3.6.txt,Acadia Healthcare Company Inc,matched
6,AcadiaHealthcareCompanyInc_20140306_S-4_EX-3.8.txt,Acadia Management Company LLC,matched
7,AcadiaHealthcareCompanyInc_20140306_S-4_EX-3.8.txt,Acadia Healthcare Company Inc,matched
8,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,BaySaver Technologies LLC,matched
9,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,ADVANCED DRAINAGE SYSTEMS INC,matched
10,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,ADS Ventures Inc,matched
11,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,Mid Atlantic Storm Water Research Center Inc,matched
12,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,AccuBid Civil Construction Inc,matched
13,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,BaySaver Technologies Inc,matched
14,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,Highbank Advisors LLC,matched
15,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,Contech Engineering Solutions LLC,matched
16,AmarkPreciousMetalsInc_20150210_10-Q_EX-10.1.txt,A-M Global Logistics LLC,matched
17,AmarkPreciousMetalsInc_20150210_10-Q_EX-10.1.txt,A-MARK PRECIOUS METALS INC,matched
18,AmcEntertainmentInc_20140401_S-4_EX-3.15.txt,Wanda AMC Releasing LLC,not found
19,AmcEntertainmentInc_20140401_S-4_EX-3.15.txt,American Multi-Cinema Inc,matched
20,AmcEntertainmentInc_20140401_S-4_EX-3.15.txt,AMC ENTERTAINMENT INC,matched
21,ApxGroupHoldingsInc_20141218_S-4_EX-3.18.txt,Farmington IP LLC,matched
22,ApxGroupHoldingsInc_20141218_S-4_EX-3.18.txt,IPR LLC,matched
23,ApxGroupHoldingsInc_20141218_S-4_EX-3.18.txt,AP AL LLC,matched
24,ApxGroupHoldingsInc_20141218_S-4_EX-3.18.txt,APX GROUP HOLDINGS INC,matched
25,AtlasResourcePartnersLp_20131126_S-4A_EX-3.6.txt,ARP Barnett Pipeline LLC,matched
26,AtlasResourcePartnersLp_20131126_S-4A_EX-3.6.txt,ARP Barnett LLC,matched
27,AtrinsicInc_20140702_10-12G_EX-10.4.txt,MOMSPOT LLC,matched
28,AtrinsicInc_20140702_10-12G_EX-10.4.txt,BE Global LLC,matched
29,AtrinsicInc_20140702_10-12G_EX-10.4.txt,Atrinsic Inc,matched
30,AvintivSpecialtyMaterialsInc_20150514_S-4_EX-3.14.txt,AVINTIV SPECIALTY MATERIALS INC,matched
31,AvintivSpecialtyMaterialsInc_20150514_S-4_EX-3.14.txt,Old Hickory Steamworks LLC,matched
32,AvintivSpecialtyMaterialsInc_20150514_S-4_EX-3.14.txt,Fiberweb Inc,matched
33,AvivHealthcarePropertiesLp_20131031_S-4_EX-3.289.txt,Florida Four Properties LLC,matched
34,AvivHealthcarePropertiesLp_20131031_S-4_EX-3.289.txt,AVIV Financing II LLC,matched
35,AvivHealthcarePropertiesLp_20131031_S-4_EX-3.289.txt,AVIV REIT INC,matched
36,AxiallCorpde_20140325_S-4_EX-3.10.txt,Georgia Gulf Chemicals & Vinyls LLC,matched
37,AxiallCorpde_20140325_S-4_EX-3.10.txt,Georgia Gulf Corporation,not found
38,AxiallCorpde_20140325_S-4_EX-3.10.txt,Axiall LLC,matched
39,AxiallCorpde_20140325_S-4_EX-3.10.txt,Axiall Holdco Inc,matched
40,AxiallCorpde_20140325_S-4_EX-3.16.txt,Eagle Natrium LLC,matched
41,AxiallCorpde_20140325_S-4_EX-3.16.txt,PPG Industries Inc,matched
42,AxiallCorpde_20140325_S-4_EX-3.16.txt,Axiall Ohio Inc,matched
43,BerryPetroleumCompanyLlc_20131220_8-K_EX-3.2.txt,Berry Petroleum Company LLC,matched
44,BerryPetroleumCompanyLlc_20131220_8-K_EX-3.2.txt,Bacchus HoldCo Inc,matched
45,BluerockResidentialGrowthReitInc_20140813_10-Q_EX-10.12.txt,BR Oak Crest Villas LLC,matched
46,BluerockResidentialGrowthReitInc_20140813_10-Q_EX-10.12.txt,Bluerock Special Opportunity + Income Fund II LLC,matched
47,BluerockResidentialGrowthReitInc_20140813_10-Q_EX-10.12.txt,BLUEROCK RESIDENTIAL GROWTH REIT INC,matched
48,BluerockResidentialGrowthReitInc_20140813_10-Q_EX-10.12.txt,BR SOIF II MANAGER LLC,matched
49,BrookstoneHoldingsCorp_20140620_T-3_EX-99.T3B.7.txt,Big Blue Audio LLC,matched
50,BrookstoneHoldingsCorp_20140620_T-3_EX-99.T3B.7.txt,Brookstone Holdings Inc,matched
51,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,OXY Wilmington LLC,matched
52,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,OXY Tidelands Inc,not found
53,CardtronicsInc_20150605_S-4_EX-3.13.txt,ATM National LLC,matched
54,CardtronicsInc_20150605_S-4_EX-3.13.txt,Cardtronics Inc,matched
55,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,AEL Net Marketing LLC,matched
56,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,Cash America Net Holdings LLC,matched
57,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,Capitol Services Inc,matched
58,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,CASH AMERICA INTERNATIONAL INC,matched
59,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,the llc,extra
60,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,`` llc,extra
61,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,california resources corp s-4 3/12/2015 oxy tidelands inc,extra
62,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,oxy wilmington oxy tidelands inc,extra
63,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,mid-atlantic mid-atlantic storm water research center inc,extra
64,AmcEntertainmentInc_20140401_S-4_EX-3.15.txt,limited liability company agreement of wanda amc releasing llc,extra
